Имя пакета,Имя файла исходного кода,Критичность,Номер строки,Имя функции,Предупреждение,Статус разметки маркера,Комментарий
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/analyze.l,Critical,40,stack_push,"Due to the loop condition dependence on the values of array elements 'ctx->stack[i]', the loop at analyze.l:40 in function 'stack_push' can have an unbounded number of iterations, eventually leading to a buffer overflow.",ложно,Количество итераций ограничено размером ctx→stack MAX_INCLUDE_DEPTH 20.
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/analyze.l,Critical,58,stack_pop,"Due to the loop condition dependence on the values of array elements 'ctx->stack[i]', the loop at analyze.l:58 in function 'stack_pop' can have an unbounded number of iterations, eventually leading to a buffer overflow.",ложно,Количество итераций ограничено размером ctx→stack MAX_INCLUDE_DEPTH 20.
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/analyze.l,Critical,175,find_standard_incl_file,"Due to the loop condition dependence on the values of array elements 'ctx->stack[i]', the loop at analyze.l:175 in function 'find_standard_incl_file' can have an unbounded number of iterations, eventually leading to a buffer overflow.",ложно,Количество итераций ограничено размером ctx→stack MAX_INCLUDE_DEPTH 20.
kbd-2.4.0-9,kbd-2.4.0/src/resizecons.c,Critical,273,main,"An element of array '&cmd[0]' of size 80, declared at resizecons.c:122, is accessed by an index with values in [0, +inf] at resizecons.c:273, which may lead to a buffer overflow. Details: Format string: 'Optional[restoretextmode -r %s\n]'.Filled values can have unlimited string length.",истинно,
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/parser.y,Critical,367,yyparse,An element of array 'yyvsa' is accessed by an index with possible negative value -3 at parser.y:367. This may lead to a buffer underflow. Index variable is assigned the value parser.y:367.,ложно,Сгенерированный код (Bison). Отрицательный индекс указывает на смещение в стеке.
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/parser.c,Critical,1862,yyparse,Value -2 is used in function 'yysyntax_error' at parser.c:1862 by calling function 'yysyntax_error' to calculate an index for accessing an element of array. This may lead to a buffer underflow. The out of range index value is originated from parser.c:1862.,ложно,Сгенерированный код (Bison). Отрицательный индекс указывает на смещение в стеке.
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/parser.c,Critical,1878,yyparse,Value -2 is used in function 'yysyntax_error' at parser.c:1878 by calling function 'yysyntax_error' to calculate an index for accessing an element of array. This may lead to a buffer underflow. The out of range index value is originated from parser.c:1878.,ложно,Сгенерированный код (Bison). Отрицательный индекс указывает на смещение в стеке.
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/parser.c,Major,1107,yysyntax_error,"Accessing an array element with index 'yytoken' at parser.c:1073 can lead to a buffer underflow, since the index can have negative values, as indicated by a conditional expression at parser.c:1107.",ложно,Сгенерированный код (Bison). Отрицательный индекс указывает на смещение в стеке.
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/parser.y,Normal,335,yyparse,"Pointer 'val', returned from function 'lk_array_get' at parser.y:334, may be NULL and is dereferenced at parser.y:335.",истинно,
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/parser.y,Normal,353,yyparse,"Pointer 'val', returned from function 'lk_array_get' at parser.y:351, may be NULL and is dereferenced at parser.y:353.",истинно,
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/ksyms.c,Normal,262,kt_latin,"Pointer, returned from function with name 'get_sym' at ksyms.c:262, may be NULL and is dereferenced at ksyms.c:262 by calling function 'strcmp'.",ложно,"Функция get_sum может вернуть NULL, только если переданы невалидные ktype или index.
В строчке 262 в функцию get_sum в аргумент ktype передаётся макрос KT_LATIN, а в index передаются значения в диапазоне [0, direction == TO_UNICODE ? 128 : syms[KT_LATIN].size).  

Аргумент ktype всегда валиден, так как в него передаётся макрос.  

Аргумент index всегда валиден, так как его значения должны быть меньше чем syms[LATIN].size. 
В случае когда direction == TO_UNICODE это условие соблыдается,так как syms[KT_LATIN].size равен 256. (128 < 256). 
В случае когда direction != TO_UNICODE  это условине также соблюдается так как в index передаются [0, syms[KT_LATIN].size). "
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/ksyms.c,Normal,299,ksymtocode,"Pointer, returned from function with name 'get_sym' at ksyms.c:299, may be NULL and is dereferenced at ksyms.c:299 by calling function 'strcmp'.",ложно,"В этом случае функция get_sym всегда будет возвращать валидные значения, так как мы итерируемся по константным syms_size и syms."
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/dump.c,Normal,221,lk_dump_ctable,"Pointer, returned from function 'lk_array_get_ptr' at dump.c:218, may be NULL and is dereferenced at dump.c:221.",истинно,
kbd-2.4.0-9,kbd-2.4.0/src/libkeymap/analyze.l,Normal,191,find_standard_incl_file,"Pointer 'pathname', returned from function 'kbdfile_get_pathname' at analyze.l:179, may be NULL and is dereferenced at analyze.l:191 by calling function 'readlink'.",ложно,"Ложно, поскольку перед вызовом функции  'kbdfile_get_pathname' производится проверка на NULL.  

while (ctx->stack[i]) i++; // 175 строчка
if (i == 0) return -1;
i--; 
pathname = kbdfile_get_pathname(ctx→stack[i]);

---- kbdfile.c:62
char * kbdfile_get_pathname(struct kbdfile *fp) {
    if (!fp)
         return NULL;
    return fp→pathname;
 } 

---- contexP.h:28
struct kbdfile {
  struct kbdfile_ctx *ctx;
  int flags;
  FILE *fd;
  char pathname[MAXPATHLEN];
 }; "
